央视,#genre#

CCTV1,http://111.74.155.231:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://111.74.155.231:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://111.74.155.231:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://111.74.155.231:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://111.74.155.231:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://111.74.155.231:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://111.74.155.231:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://111.74.155.231:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://111.74.155.231:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://111.74.155.231:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://111.74.155.231:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://111.74.155.231:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://111.74.155.231:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://111.74.155.231:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://111.74.155.231:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0

CCTV1,rtsp://115.153.233.154/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV1,rtsp://115.153.212.72/PLTV/88888888/224/3221225699/iptv8040.smil?
CCTV1,rtsp://115.153.233.154/PLTV/88888888/224/3221225517/iptv7949.smil
CCTV1,rtsp://115.153.212.72/PLTV/88888888/224/3221225517/iptv7949.smil?

CCTV2,rtsp://115.153.233.154/PLTV/88888888/224/3221226825/59814584.smil
CCTV2,rtsp://115.153.212.72/PLTV/88888888/224/3221226825/59814584.smil?

CCTV3,rtsp://115.153.233.154/PLTV/88888888/224/3221226930/65406412.smil
CCTV3,rtsp://115.153.233.154/PLTV/88888888/224/3221226841/63329606.smil
CCTV3,rtsp://115.153.212.72/PLTV/88888888/224/3221226930/65406412.smil?

CCTV4,rtsp://115.153.233.154/PLTV/88888888/224/3221226838/59814684.smil
CCTV4,rtsp://115.153.212.72/PLTV/88888888/224/3221226838/59814684.smil?

CCTV5,rtsp://115.153.233.154/PLTV/88888888/224/3221226852/63329574.smil
CCTV5,rtsp://115.153.233.154/PLTV/88888888/224/3221226907/65396401.smil
CCTV5,rtsp://115.153.212.72/PLTV/88888888/224/3221226907/65396401.smil?

CCTV6,rtsp://115.153.233.154/PLTV/88888888/224/3221226909/65396493.smil
CCTV6,rtsp://115.153.233.154/PLTV/88888888/224/3221226843/63329570.smil
CCTV6,rtsp://115.153.212.72/PLTV/88888888/224/3221226909/65396493.smil?

CCTV7,rtsp://115.153.233.154/PLTV/88888888/224/3221226827/59814693.smil
CCTV7,rtsp://115.153.212.72/PLTV/88888888/224/3221226827/59814693.smil?

CCTV8,rtsp://115.153.233.154/PLTV/88888888/224/3221226911/65406606.smil
CCTV8,rtsp://115.153.233.154/PLTV/88888888/224/3221226854/63329578.smil
CCTV8,rtsp://115.153.212.72/PLTV/88888888/224/3221226911/65406606.smil?

CCTV9,rtsp://115.153.233.154/PLTV/88888888/224/3221226840/59814699.smil
CCTV9,rtsp://115.153.212.72/PLTV/88888888/224/3221226840/59814699.smil?

CCTV10,rtsp://115.153.233.154/PLTV/88888888/224/3221226634/51813368.smil
CCTV10,rtsp://115.153.233.154/PLTV/88888888/224/3221226630/51813372.smil
CCTV10,rtsp://115.153.212.72/PLTV/88888888/224/3221226630/51813372.smil?

CCTV11,rtsp://115.153.233.154/PLTV/88888888/224/3221226986/85722616.smil
CCTV11,rtsp://115.153.212.72/PLTV/88888888/224/3221225529/iptv7955.smil?

CCTV12,rtsp://115.153.233.154/PLTV/88888888/224/3221226829/59814709.smil
CCTV12,rtsp://115.153.212.72/PLTV/88888888/224/3221226829/59814709.smil?

CCTV13,rtsp://115.153.233.154/PLTV/88888888/224/3221227037/87447722.smil
CCTV13,rtsp://115.153.212.72/PLTV/88888888/224/3221225533/iptv7957.smil?
CCTV13,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226104/10000100000000060000000002298296_0.smil
CCTV13,http://39.135.138.60:18890/TVOD/88888910/224/3221225638/index.m3u8
CCTV13,http://39.135.46.111:6610/PLTV/77777777/224/3221225787/index.m3u8?
